name,address,phone_number,yelp_url
Dove's Luncheonette,"1545 N Damen Ave Chicago, IL 60622",(773) 645-4060,http://www.yelp.com/biz/doves-luncheonette-chicago
Birchwood Kitchen,"2211 W North Ave Chicago, IL 60647",(773) 276-2100,http://www.yelp.com/biz/birchwood-kitchen-chicago
The Bongo Room,"1470 N Milwaukee Ave Chicago, IL 60622",(773) 489-0690,http://www.yelp.com/biz/the-bongo-room-chicago
Lula Cafe,"2537 N Kedzie Blvd Chicago, IL 60647",(773) 489-9554,http://www.yelp.com/biz/lula-cafe-chicago-3
Broadway Cellars,"5900 N Broadway St Chicago, IL 60660",(773) 944-1208,http://www.yelp.com/biz/broadway-cellars-chicago
Valois,"1518 E 53rd St Chicago, IL 60615",(773) 667-0647,http://www.yelp.com/biz/valois-chicago
Cafe Versailles,"4102 N Pulaski Ave Chicago, IL 60641",(773) 283-8891,http://www.yelp.com/biz/cafe-versailles-chicago
El Habanero,"3300 W Fullerton Ave Chicago, IL 60647",(773) 227-9225,http://www.yelp.com/biz/el-habanero-chicago
Over Easy Cafe,"4943 N Damen Ave Chicago, IL 60625",(773) 506-2605,http://www.yelp.com/biz/over-easy-cafe-chicago-3
Johnny Casserol,"4019 N Damen Ave Chicago, IL 60618",(773) 857-2665,http://www.yelp.com/biz/johnny-casserole-chicago
Home Bistro,"3404 N Halsted St Chicago, IL 60657",(773) 661-0299,http://www.yelp.com/biz/home-bistro-chicago
Inspiration Kitchens,"4715 N Sheridan Rd Chicago, IL 60640",(773) 275-0626,http://www.yelp.com/biz/inspiration-kitchens-chicago-5
Dolce Casa Cafe,"4947 N Damen Ave Chicago, IL 60625",(773) 506-0708,http://www.yelp.com/biz/dolce-casa-cafe-chicago
Au Cheval,"800 W Randolph St Chicago, IL 60607",(312) 929-4580,http://www.yelp.com/biz/au-cheval-chicago
Wildberry Pancakes and Cafe,"130 E Randolph St Chicago, IL 60601",(312) 938-9777,http://www.yelp.com/biz/wildberry-pancakes-and-cafe-chicago-2
m.henry,"5707 N Clark St Chicago, IL 60660",(773) 561-1600,http://www.yelp.com/biz/m-henry-chicago
Brunch,"644 N Orleans St Chicago, IL 60654",(312) 265-1411,http://www.yelp.com/biz/brunch-chicago-2?osq=brunch+restaurant
Batter and Berries,"2748 N Lincoln Ave Chicago, IL 60614",(773) 248-7710,http://www.yelp.com/biz/batter-and-berries-chicago
Big Jones,"5347 N Clark St Chicago, IL 60640",(773) 275-5725,http://www.yelp.com/biz/big-jones-chicago
Victory's Banner,"2100 W Roscoe St Chicago, IL 60618",(773) 665-0227,http://www.yelp.com/biz/victorys-banner-chicago-2
